"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"138",0,0,1,0,0,1,0,0,1,0
"139",0,0,0,0,0,0,0,1,0,1
"140",0,0,0,0,0,0,0,0,0,0
"141",0,1,0,1,0,1,0,0,1,0
"142",0,0,0,0,0,0,0,0,0,1
"143",0,0,0,0,0,0,0,1,0,1
"144",1,0,0,1,0,0,0,0,1,0
"145",0,0,0,0,0,0,1,0,0,0
"146",0,1,0,1,0,1,1,0,1,0
"147",0,0,0,0,0,0,0,0,0,0
"148",1,0,1,1,0,1,0,0,1,0
"149",0,0,0,0,0,0,0,0,0,0
"150",0,0,0,0,0,0,0,0,0,0
"151",0,0,0,0,0,0,0,0,0,0
"152",2,1,2,1,1,1,1,1,2,3
"153",1,1,1,0,1,0,2,4,1,3
"154",2,1,1,2,0,0,1,0,1,2
"155",2,2,1,4,1,2,0,2,3,3
"156",0,1,0,2,0,1,0,0,4,2
"157",0,0,0,1,1,0,1,1,0,2
"158",0,1,0,1,0,1,0,0,1,0
"159",0,0,0,0,0,0,0,0,0,0
"160",0,1,0,1,1,0,1,2,0,1
"161",0,0,0,0,0,0,0,0,0,0
"162",0,0,0,0,0,0,0,1,0,1
"163",0,0,0,0,0,0,0,0,0,0
"164",0,0,0,0,0,0,0,0,0,0
"165",0,1,0,0,0,0,0,0,0,0
"166",0,0,0,0,0,0,0,0,0,0
"167",0,0,0,0,0,0,0,0,0,0
"168",0,0,0,0,0,0,0,1,0,1
"169",0,1,0,0,0,0,0,1,0,1
"170",0,1,1,0,1,1,1,1,1,1
"171",0,2,0,0,1,0,1,1,0,1
"172",1,2,0,1,1,1,0,1,1,1
"173",1,0,2,1,0,0,0,1,2,0
"174",0,0,0,0,0,0,0,0,0,0
"175",0,0,0,1,0,0,0,0,1,0
"176",0,0,0,0,0,0,0,0,0,0
"177",0,0,0,0,0,0,0,0,0,0
"178",0,0,0,0,0,0,0,1,2,2
"179",1,0,1,1,0,1,0,1,1,1
"180",0,0,0,1,1,0,1,1,0,1
