"","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"322",0,0,0,0,0,0,0,0,0,0
"323",0,0,0,0,0,0,0,0,0,0
"324",1,0,1,1,0,1,1,0,1,0
"325",0,0,0,0,0,1,0,1,1,0
"326",0,0,0,0,0,0,1,1,0,1
"327",1,0,1,1,0,1,0,0,1,0
"328",0,0,0,0,0,0,1,0,0,0
"329",2,2,0,1,0,0,0,1,0,2
"330",1,1,0,1,0,0,1,4,0,6
"331",0,2,0,0,0,0,1,2,0,1
"332",0,0,0,0,0,0,0,0,0,0
"333",0,1,0,0,0,0,0,0,0,1
"334",0,1,1,0,1,0,1,1,0,2
"335",1,0,0,2,0,0,0,0,2,1
"336",1,1,0,0,0,0,0,3,0,3
"337",0,1,0,0,0,0,0,0,0,0
"338",1,1,0,0,0,1,0,1,1,1
"339",0,0,0,0,0,0,0,0,1,0
"340",2,1,0,1,0,1,1,0,3,1
"341",0,1,1,1,0,0,3,0,1,1
"342",0,0,0,0,0,0,0,0,0,1
"343",0,1,0,0,0,1,1,0,1,2
"344",1,2,0,0,1,1,1,1,1,1
"345",0,3,0,1,1,0,0,1,1,2
"346",0,1,0,0,1,0,1,1,0,2
"347",1,0,0,0,0,0,1,2,1,2
"348",2,2,0,1,0,0,0,2,0,3
"349",0,1,0,0,1,0,1,2,0,2
"350",0,3,1,0,1,0,1,5,2,3
"351",1,2,0,1,0,0,2,1,0,2
"352",0,0,0,0,0,0,1,0,0,0
"353",0,1,0,0,1,0,0,2,0,4
"354",0,0,0,0,0,0,0,0,0,1
"355",1,2,0,0,1,0,0,2,1,4
"356",1,1,0,0,1,1,1,1,1,1
"357",2,0,1,2,0,1,1,0,2,0
"358",2,2,0,1,0,0,0,2,0,4
"359",0,0,0,0,0,0,1,0,0,0
"360",0,2,0,0,1,0,0,3,0,3
"361",1,0,0,2,0,1,1,2,2,1
"362",1,1,0,0,1,1,1,2,1,1
"363",2,2,1,1,0,0,0,4,0,3
"364",2,2,0,0,1,2,2,3,2,3
"365",1,0,0,2,0,1,1,1,3,3
"366",0,0,0,0,1,0,0,0,0,1
"367",1,1,0,2,0,0,0,1,2,2
"368",1,5,0,1,1,1,1,1,3,2
"369",1,2,1,1,0,1,0,1,2,2
"370",1,2,0,0,1,1,2,1,2,1
"371",0,2,0,0,1,0,0,4,0,5
"372",0,0,0,1,0,0,0,1,1,2
"373",1,2,1,1,2,1,2,3,2,3
"374",1,3,1,1,1,2,1,2,2,7
"375",0,0,0,0,0,0,0,0,0,0
"376",1,1,0,2,0,1,1,1,2,2
"377",1,0,2,1,1,1,0,3,2,3
"378",3,4,2,4,0,4,3,3,6,3
"379",1,1,0,0,0,1,0,2,1,3
"380",0,0,0,1,0,3,1,0,3,0
"381",0,0,0,0,0,0,0,0,0,1
"382",1,4,0,0,1,1,1,3,2,3
"383",0,0,0,0,0,0,0,0,0,0
"384",0,1,0,1,2,0,1,3,0,3
"385",2,1,0,0,1,1,1,2,2,1
"386",1,0,0,1,0,0,0,2,1,1
"387",2,0,0,2,0,2,1,1,2,2
"388",0,0,0,0,0,1,0,1,1,1
"389",0,2,0,0,3,0,1,3,1,5
"390",0,1,0,0,1,0,0,2,0,3
"391",0,1,0,1,1,0,1,2,0,3
"392",2,2,0,0,2,0,1,3,1,3
"393",1,1,0,1,1,0,2,1,0,4
"394",1,1,0,0,1,0,2,1,0,1
"395",1,1,0,0,1,1,1,1,1,1
"396",0,0,0,0,1,0,0,2,0,1
"397",1,1,0,0,1,1,1,1,1,1
"398",1,2,0,1,1,1,1,2,1,2
"399",0,1,0,0,0,0,0,0,0,1
"400",0,0,0,0,0,1,0,0,2,0
"401",1,1,0,0,1,1,1,1,1,1
"402",0,0,0,0,0,0,1,0,0,0
"403",1,0,1,1,0,1,0,0,1,0
"404",2,1,2,2,0,2,1,1,5,1
"405",0,2,0,0,0,0,0,1,1,1
"406",3,2,1,3,1,5,0,2,6,1
"407",0,0,0,1,0,1,1,0,1,0
"408",1,1,0,0,0,0,1,2,1,2
"409",0,0,0,0,0,0,0,0,0,0
"410",1,2,1,1,0,1,1,1,2,2
"411",1,2,0,0,1,0,0,2,2,3
"412",0,0,0,0,0,0,0,0,0,0
